video_id	n	frame_idx
L21_V001	1	0
L21_V001	2	90
L21_V001	3	261
L21_V001	4	351
L21_V001	5	411
L21_V001	6	531
L21_V001	7	711
L21_V001	8	858
L21_V001	9	921
L21_V001	10	1131
L21_V001	11	1281
L21_V001	12	1371
L21_V001	13	1551
L21_V001	14	1761
L21_V001	15	1887
L21_V001	16	2036
L21_V001	17	2130
L21_V001	18	2217
L21_V001	19	2288
L21_V001	20	2375
L21_V001	21	2412
L21_V001	22	2574
L21_V001	23	2720
L21_V001	24	2766
L21_V001	25	2856
L21_V001	26	2958
L21_V001	27	3150
L21_V001	28	3243
L21_V001	29	3348
L21_V001	30	3507
L21_V001	31	3584
L21_V001	32	3599
L21_V001	33	3738
L21_V001	34	3782
L21_V001	35	3932
L21_V001	36	4037
L21_V001	37	4157
L21_V001	38	4184
L21_V001	39	4308
L21_V001	40	4428
L21_V001	41	4551
L21_V001	42	4686
L21_V001	43	4835
L21_V001	44	4932
L21_V001	45	4998
L21_V001	46	5082
L21_V001	47	5160
L21_V001	48	5370
L21_V001	49	5550
L21_V001	50	5760
L21_V001	51	5889
L21_V001	52	6099
L21_V001	53	6279
L21_V001	54	6386
L21_V001	55	6534
L21_V001	56	6674
L21_V001	57	6822
L21_V001	58	6933
L21_V001	59	7074
L21_V001	60	7202
L21_V001	61	7412
L21_V001	62	7622
L21_V001	63	7811
L21_V001	64	7923
L21_V001	65	8073
L21_V001	66	8268
L21_V001	67	8358
L21_V001	68	8456
L21_V001	69	8622
L21_V001	70	8730
L21_V001	71	8820
L21_V001	72	8973
L21_V001	73	9155
L21_V001	74	9351
L21_V001	75	9498
L21_V001	76	9708
L21_V001	77	9854
L21_V001	78	9987
L21_V001	79	10137
L21_V001	80	10224
L21_V001	81	10314
L21_V001	82	10355
L21_V001	83	10437
L21_V001	84	10502
L21_V001	85	10653
L21_V001	86	10698
L21_V001	87	10868
L21_V001	88	10908
L21_V001	89	11000
L21_V001	90	11195
L21_V001	91	11400
L21_V001	92	11501
L21_V001	93	11691
L21_V001	94	11781
L21_V001	95	11964
L21_V001	96	12171
L21_V001	97	12278
L21_V001	98	12335
L21_V001	99	12390
L21_V001	100	12450
L21_V001	101	12510
L21_V001	102	12528
L21_V001	103	12558
L21_V001	104	12600
L21_V001	105	12630
L21_V001	106	12818
L21_V001	107	12962
L21_V001	108	13071
L21_V001	109	13137
L21_V001	110	13347
L21_V001	111	13467
L21_V001	112	13631
L21_V001	113	13734
L21_V001	114	13892
L21_V001	115	14045
L21_V001	116	14124
L21_V001	117	14211
L21_V001	118	14361
L21_V001	119	14564
L21_V001	120	14622
L21_V001	121	14703
L21_V001	122	14792
L21_V001	123	14883
L21_V001	124	14975
L21_V001	125	15032
L21_V001	126	15065
L21_V001	127	15146
L21_V001	128	15186
L21_V001	129	15242
L21_V001	130	15330
L21_V001	131	15356
L21_V001	132	15566
L21_V001	133	15771
L21_V001	134	15863
L21_V001	135	16068
L21_V001	136	16184
L21_V001	137	16302
L21_V001	138	16397
L21_V001	139	16506
L21_V001	140	16596
L21_V001	141	16634
L21_V001	142	16754
L21_V001	143	16926
L21_V001	144	17067
L21_V001	145	17190
L21_V001	146	17378
L21_V001	147	17514
L21_V001	148	17580
L21_V001	149	17790
L21_V001	150	17880
L21_V001	151	18074
L21_V001	152	18164
L21_V001	153	18315
L21_V001	154	18486
L21_V001	155	18648
